iter	R2	RMSE
0	0.07078183729	1.147740515
5	0.3333965125	0.9721168018
10	0.4861825451	0.8534717323
15	0.5783274791	0.7731653632
20	0.6448062026	0.7096063421
25	0.6862978162	0.6668736361
30	0.7200698927	0.6299550556
35	0.7467179258	0.5992208578
40	0.7623679183	0.5804131787
45	0.7749542832	0.5648331116
50	0.7843487217	0.5529179676
55	0.790409059	0.5450933439
60	0.7971790577	0.5362177168
65	0.8032669094	0.5281089265
70	0.8102189557	0.5186939222
75	0.8143757312	0.5129819449
80	0.8199256747	0.5052550552
85	0.8243214088	0.4990501328
90	0.8271184107	0.4950615426
95	0.8308871813	0.4896356135
100	0.8333683734	0.4860304156
105	0.8352229985	0.4833180721
110	0.838555327	0.478405883
115	0.8401679784	0.4760106093
120	0.8430773684	0.4716584224
125	0.8447507411	0.4691367614
130	0.8463641994	0.4666927018
135	0.848197052	0.463900487
140	0.8503296677	0.4606303448
145	0.8525886327	0.4571410853
150	0.8543015027	0.4544774086
155	0.855804717	0.4521268945
160	0.8579273139	0.4487868051
165	0.8592482211	0.4466955693
170	0.8602258425	0.4451416299
175	0.8614964624	0.443113684
180	0.8630762382	0.4405793798
185	0.8644604623	0.4383468006
190	0.8654180534	0.4367955569
195	0.8667581305	0.4346153772
200	0.8686104543	0.4315838425
205	0.870053124	0.4292078663
210	0.8707022494	0.4281345429
215	0.871524739	0.4267705905
220	0.8725126692	0.4251265521
225	0.873599537	0.42331053
230	0.8744482644	0.4218868846
235	0.8758453001	0.4195331982
240	0.8769570376	0.4176507211
245	0.8777868246	0.416239913
250	0.8785139864	0.4149997308
255	0.8790485955	0.4140857074
260	0.8798169758	0.4127683221
265	0.8802922057	0.4119513464
270	0.8813898048	0.4100584228
275	0.8819168536	0.4091463501
280	0.8827455878	0.4077081118
285	0.8833050712	0.4067342341
290	0.8838006109	0.4058697311
295	0.8847779545	0.4041593048
300	0.8852548662	0.4033219653
305	0.885696029	0.4025459245
310	0.8861526307	0.401741017
315	0.886494465	0.4011375192
320	0.8869008338	0.4004188147
325	0.8872420218	0.3998144193
330	0.887665164	0.3990634887
335	0.8880936838	0.3983016347
340	0.8886325239	0.3973415364
345	0.8890551662	0.3965867769
350	0.8895706513	0.3956643877
355	0.8899139511	0.3950489443
360	0.8904102154	0.3941575365
365	0.8907673262	0.3935147952
370	0.8911482912	0.3928279491
375	0.8915174813	0.3921612201
380	0.8919418556	0.3913934328
385	0.8923877335	0.3905850745
390	0.8927187714	0.389983793
395	0.8931328561	0.389230453
400	0.8936123051	0.3883564282
405	0.8939666208	0.3877091661
410	0.8942338812	0.3872201924
415	0.8946248421	0.3865039025
420	0.8949470096	0.3859126175
425	0.8954300176	0.3850244685
430	0.895724587	0.3844817298
435	0.8960604942	0.3838619522
440	0.8964229901	0.3831920003
445	0.8967209939	0.3826403394
450	0.8970822553	0.381970496
455	0.8974513107	0.3812851055
460	0.8977692117	0.380693608
465	0.8980606693	0.3801505093
470	0.8983904863	0.3795350469
475	0.8987602589	0.3788438861
480	0.8989873041	0.3784188085
485	0.8993146386	0.3778051616
490	0.8997075542	0.3770672633
495	0.8999061551	0.376693729
500	0.9003385163	0.3758793349
505	0.9005554094	0.3754700624
510	0.9008884389	0.3748407778
515	0.9012057772	0.3742402438
520	0.9015014405	0.3736798228
525	0.9018701155	0.3729799089
530	0.9020632708	0.3726125633
535	0.9024822271	0.3718147672
540	0.9027412135	0.3713206908
545	0.9029426208	0.3709360432
550	0.9031981765	0.3704473138
555	0.9033999159	0.3700610663
560	0.9038864979	0.3691279281
565	0.9041675383	0.3685878899
570	0.904369578	0.3681991577
575	0.9047069159	0.3675491998
580	0.9049226507	0.367132871
585	0.9051988847	0.3665992135
590	0.9054654075	0.3660834312
595	0.9057167997	0.365596459
600	0.9061282306	0.3647977373
605	0.9063752495	0.3643175206
610	0.9065885247	0.3639023711
615	0.9068090475	0.3634725413
620	0.9070405935	0.3630208101
625	0.9072637448	0.3625847004
630	0.9075366098	0.362051009
635	0.9077211675	0.3616894325
640	0.9078623263	0.3614125964
645	0.9083389899	0.3604765211
