iter	Passed	Remaining
0	27	45712
1	55	44964
2	78	42692
3	103	42265
4	127	41601
5	152	41326
6	174	40609
7	197	40169
8	222	40150
9	247	40231
10	276	40777
11	299	40440
12	320	40048
13	343	39747
14	365	39420
15	388	39307
16	408	38879
17	433	38971
18	456	38793
19	476	38443
20	505	38818
21	526	38588
22	549	38483
23	572	38414
24	592	38128
25	613	37985
26	636	37910
27	657	37755
28	681	37721
29	702	37563
30	725	37529
31	746	37395
32	767	37270
33	789	37175
34	804	36798
35	830	36890
36	858	37067
37	881	37050
38	909	37213
39	926	36946
40	941	36622
41	966	36666
42	992	36732
43	1018	36838
44	1044	36913
45	1071	37016
46	1088	36793
47	1113	36800
48	1132	36651
49	1155	36629
50	1184	36790
51	1207	36768
52	1232	36782
53	1251	36633
54	1274	36618
55	1300	36660
56	1319	36515
57	1344	36548
58	1365	36481
59	1388	36458
60	1413	36476
61	1434	36400
62	1452	36242
63	1478	36280
64	1502	36280
65	1528	36331
66	1551	36308
67	1574	36273
68	1597	36248
69	1624	36320
70	1649	36340
71	1672	36309
72	1693	36246
73	1719	36281
74	1743	36271
75	1769	36293
76	1788	36185
77	1811	36163
78	1833	36109
79	1855	36074
80	1881	36092
81	1907	36131
82	1928	36061
83	1947	35950
84	1969	35905
85	1991	35879
86	2010	35776
87	2029	35670
88	2054	35681
89	2074	35613
90	2097	35583
91	2120	35558
92	2142	35523
93	2162	35453
94	2185	35420
95	2208	35400
96	2230	35363
97	2251	35312
98	2273	35276
99	2295	35242
100	2318	35218
101	2343	35221
102	2366	35193
103	2387	35153
104	2412	35147
105	2439	35193
106	2465	35213
107	2491	35221
108	2513	35190
109	2538	35192
110	2566	35243
111	2591	35239
112	2615	35225
113	2636	35177
114	2663	35207
115	2685	35162
116	2711	35177
117	2734	35156
118	2755	35100
119	2776	35048
120	2801	35050
121	2822	35002
122	2844	34964
123	2866	34927
124	2889	34907
125	2913	34893
126	2935	34856
127	2958	34836
128	2982	34816
129	3002	34764
130	3028	34772
131	3052	34759
132	3076	34741
133	3095	34672
134	3117	34639
135	3139	34603
136	3165	34607
137	3187	34582
138	3210	34550
139	3233	34534
140	3257	34516
141	3280	34495
142	3303	34472
143	3327	34448
144	3347	34400
145	3372	34392
146	3394	34365
147	3415	34319
148	3436	34275
149	3456	34223
150	3482	34225
151	3505	34205
152	3528	34179
153	3550	34141
154	3581	34193
155	3605	34184
156	3627	34144
157	3650	34128
158	3678	34143
159	3702	34132
160	3727	34122
161	3750	34104
162	3769	34044
163	3790	34001
164	3813	33975
165	3838	33969
166	3861	33948
167	3890	33969
168	3914	33959
169	3937	33933
170	3960	33907
171	3985	33897
172	4004	33840
173	4025	33804
174	4046	33759
175	4069	33735
176	4089	33688
177	4111	33656
178	4132	33616
179	4152	33569
180	4179	33573
181	4204	33566
182	4226	33534
183	4248	33500
184	4268	33456
185	4291	33431
186	4314	33404
187	4333	33353
188	4352	33300
189	4374	33268
190	4398	33257
191	4421	33227
192	4440	33180
193	4467	33186
194	4487	33139
195	4517	33165
196	4537	33120
197	4559	33093
198	4580	33050
199	4602	33022
200	4626	33007
201	4648	32975
202	4669	32941
203	4695	32934
204	4713	32880
205	4743	32908
206	4763	32863
207	4787	32842
208	4814	32849
209	4839	32839
210	4866	32839
211	4888	32812
212	4910	32782
213	4934	32768
214	4959	32755
215	4983	32740
216	5004	32704
217	5024	32657
218	5046	32627
219	5070	32615
220	5095	32601
221	5116	32564
222	5137	32527
223	5158	32493
224	5178	32451
225	5202	32437
226	5226	32415
227	5248	32388
228	5276	32396
229	5300	32380
230	5327	32379
231	5351	32364
232	5374	32336
233	5397	32313
234	5418	32281
235	5444	32277
236	5467	32251
237	5493	32246
238	5513	32207
239	5536	32179
240	5557	32143
241	5578	32113
242	5601	32087
243	5623	32058
244	5644	32026
245	5671	32021
246	5692	31990
247	5717	31977
248	5745	31982
249	5767	31950
250	5788	31914
251	5812	31901
252	5831	31853
253	5852	31817
254	5872	31780
255	5896	31764
256	5918	31735
257	5948	31749
258	5970	31719
259	5996	31713
260	6020	31693
261	6040	31657
262	6065	31640
263	6086	31609
264	6109	31584
265	6134	31570
266	6157	31551
267	6180	31526
268	6198	31476
269	6221	31453
270	6242	31420
271	6265	31397
272	6292	31391
273	6313	31359
274	6336	31339
275	6360	31316
276	6385	31306
277	6407	31279
278	6429	31248
279	6453	31232
280	6482	31235
281	6503	31203
282	6523	31165
283	6544	31133
284	6567	31108
285	6590	31086
286	6615	31071
287	6638	31050
288	6660	31022
289	6684	31003
290	6708	30982
291	6729	30951
292	6749	30912
293	6773	30893
294	6801	30895
295	6832	30906
296	6857	30892
297	6877	30858
298	6897	30818
299	6918	30788
300	6944	30778
301	6967	30752
302	6990	30731
303	7016	30719
304	7039	30694
305	7062	30673
306	7082	30639
307	7106	30619
308	7135	30622
309	7162	30614
310	7187	30598
311	7215	30597
312	7239	30576
313	7260	30543
314	7282	30516
315	7314	30531
316	7335	30498
317	7358	30474
318	7382	30455
319	7403	30422
320	7425	30397
321	7445	30358
322	7465	30323
323	7487	30296
324	7507	30261
325	7532	30247
326	7556	30227
327	7582	30215
328	7612	30217
329	7632	30184
330	7659	30173
331	7681	30147
332	7706	30132
333	7734	30126
334	7756	30098
335	7779	30075
336	7798	30037
337	7821	30011
338	7846	29997
339	7867	29967
340	7893	29951
341	7911	29910
342	7934	29885
343	7955	29855
344	7979	29835
345	8006	29827
346	8029	29802
347	8057	29799
348	8081	29777
349	8103	29751
350	8127	29731
351	8146	29692
352	8166	29657
353	8188	29630
354	8210	29605
355	8236	29591
356	8258	29563
357	8286	29557
358	8313	29547
359	8332	29510
360	8358	29496
361	8389	29501
362	8413	29482
363	8437	29462
364	8461	29442
365	8489	29434
366	8509	29402
367	8533	29380
368	8555	29354
369	8577	29325
370	8602	29309
371	8624	29282
372	8648	29261
373	8669	29229
374	8691	29204
375	8715	29184
376	8739	29161
377	8761	29137
378	8786	29116
379	8811	29101
380	8843	29107
381	8869	29091
382	8895	29079
383	8915	29046
384	8937	29018
385	8961	28998
386	8985	28975
387	9004	28939
388	9033	28935
389	9059	28920
390	9082	28895
391	9103	28867
392	9130	28853
393	9156	28839
394	9178	28812
395	9204	28800
396	9230	28784
397	9251	28753
398	9273	28727
399	9296	28701
400	9319	28678
401	9340	28649
402	9365	28631
403	9386	28601
404	9413	28587
405	9435	28562
406	9457	28535
407	9479	28509
408	9504	28489
409	9530	28474
410	9565	28486
411	9588	28463
412	9615	28451
413	9643	28441
414	9667	28420
415	9695	28410
416	9719	28387
417	9742	28364
418	9764	28339
419	9785	28306
420	9813	28297
421	9835	28271
422	9858	28245
423	9884	28230
424	9908	28209
425	9932	28189
426	9963	28188
427	9990	28173
428	10016	28158
429	10040	28135
430	10061	28108
431	10085	28085
432	10107	28058
433	10131	28036
434	10155	28015
435	10182	28000
436	10204	27976
437	10227	27949
438	10250	27926
439	10273	27900
440	10295	27875
441	10322	27862
442	10344	27833
443	10365	27805
444	10386	27775
445	10408	27747
446	10430	27720
447	10453	27697
448	10476	27671
449	10502	27657
450	10527	27636
451	10548	27609
452	10575	27594
453	10599	27573
454	10622	27548
455	10648	27531
456	10673	27512
457	10695	27486
458	10714	27452
459	10735	27422
460	10760	27403
461	10791	27398
462	10811	27368
463	10831	27334
464	10854	27311
465	10879	27290
466	10900	27263
467	10924	27240
468	10946	27214
469	10967	27185
470	10993	27168
471	11020	27154
472	11042	27127
473	11065	27102
474	11087	27075
475	11111	27054
476	11133	27029
477	11159	27011
478	11181	26983
479	11206	26964
480	11230	26944
481	11255	26924
482	11287	26920
483	11313	26904
484	11336	26880
485	11363	26864
486	11384	26836
487	11406	26810
488	11428	26783
489	11450	26757
490	11475	26737
491	11500	26717
492	11522	26690
493	11543	26662
494	11566	26638
495	11589	26613
496	11616	26597
497	11639	26574
498	11661	26547
499	11683	26521
500	11716	26519
501	11740	26498
502	11762	26471
503	11783	26442
504	11808	26422
505	11833	26403
506	11854	26375
507	11877	26349
508	11896	26316
509	11921	26296
510	11948	26282
511	11972	26259
512	12000	26246
513	12021	26218
514	12047	26200
515	12070	26177
516	12094	26153
517	12115	26126
518	12141	26107
519	12163	26081
520	12186	26056
521	12215	26045
522	12238	26020
523	12261	25996
524	12285	25974
525	12308	25951
526	12333	25931
527	12358	25911
528	12382	25887
529	12405	25864
530	12430	25844
531	12458	25831
532	12488	25821
533	12514	25803
534	12540	25783
535	12565	25762
536	12588	25739
537	12614	25722
538	12635	25692
539	12655	25662
540	12680	25642
541	12705	25621
542	12726	25594
543	12750	25570
544	12772	25544
545	12798	25526
546	12820	25500
547	12843	25476
548	12866	25452
549	12890	25428
550	12916	25411
551	12938	25385
552	12964	25365
553	12984	25336
554	13013	25324
555	13038	25303
556	13062	25280
557	13082	25250
558	13101	25218
559	13128	25201
560	13156	25187
561	13175	25155
562	13199	25132
