iter	RMSE
0	1.143475189
1	1.096753406
2	1.052310166
3	1.012240814
4	0.9768218928
5	0.9461610621
6	0.9163343551
7	0.8911063333
8	0.8675025432
9	0.846727174
10	0.8254191943
11	0.8085398558
12	0.7908950719
13	0.7742635456
14	0.7604644115
15	0.7478420474
16	0.7364940084
17	0.7263656627
18	0.7101720477
19	0.7016707408
20	0.6938662235
21	0.6812223974
22	0.6738427081
23	0.6628063011
24	0.6576778918
25	0.6468833131
26	0.637323353
27	0.629461833
28	0.6238677553
29	0.6162226832
30	0.6108974459
31	0.6073105594
32	0.6012230242
33	0.5971423518
34	0.5921696931
35	0.5861958516
36	0.5822295269
37	0.5773239893
38	0.5741449934
39	0.5706035611
40	0.5677370582
41	0.5659331783
42	0.5634820219
43	0.5611313372
44	0.559821754
45	0.5548733985
46	0.5530855787
47	0.5506504018
48	0.5477377202
49	0.5458857572
50	0.5411808707
51	0.5370474054
52	0.5359472752
53	0.5340719736
54	0.53264516
55	0.5319284578
56	0.5282425065
57	0.5259983247
58	0.5230442002
59	0.5216852931
60	0.5206944151
61	0.5178145497
62	0.517047703
63	0.5149467288
64	0.5120213897
65	0.5094595841
66	0.5088806115
67	0.5075386548
68	0.505322409
69	0.5041386789
70	0.5030505393
71	0.5013479148
72	0.5001502633
73	0.4988591302
74	0.4978454149
75	0.4969660648
76	0.4962031485
77	0.4952999323
78	0.4943698847
79	0.4926184609
80	0.4908500367
81	0.4904804374
82	0.4892822853
83	0.4873216861
84	0.4865937408
85	0.4860992031
86	0.4853599454
87	0.4838872351
88	0.4835237177
89	0.4816917446
90	0.4803379177
91	0.4798044127
92	0.4778806399
93	0.4773277694
94	0.4765008105
95	0.4759353911
96	0.4750574811
97	0.4734274688
98	0.4729997556
99	0.4724030421
100	0.4715835341
101	0.47077151
102	0.4697374382
103	0.4691607493
104	0.4686442608
105	0.4680977355
106	0.4672021658
107	0.4667272181
108	0.4663399151
109	0.4659305271
110	0.4651957607
111	0.4646443601
112	0.4638314378
113	0.4633751199
114	0.4631413141
115	0.4625793838
116	0.4622042681
117	0.4616193225
118	0.4604620793
119	0.4595456669
120	0.4587825179
121	0.4583474491
122	0.4577853798
123	0.4574085144
124	0.4571308648
125	0.4566627586
126	0.4559305671
127	0.4555794754
128	0.4551460832
129	0.4545433844
130	0.4534730358
131	0.4529670768
132	0.4521810799
133	0.4517260051
134	0.4511376153
135	0.4507335019
136	0.4501767112
137	0.4498757059
138	0.4496473886
139	0.4492623225
140	0.4486945836
141	0.4484088792
142	0.4478357149
143	0.4471142257
144	0.446805422
145	0.4465030531
146	0.4459798381
147	0.4456213051
148	0.4438254011
149	0.4435201806
150	0.4430655634
151	0.442661341
152	0.4424150785
153	0.4418704868
154	0.4407268816
155	0.4403418892
156	0.4399639993
157	0.4385094566
158	0.4381452161
159	0.4376471417
160	0.4363065234
161	0.436038906
162	0.4357700762
163	0.4355483648
164	0.4351700825
165	0.4350059472
166	0.4346613026
167	0.4343388748
168	0.4338374442
169	0.4334834228
170	0.4328899305
171	0.4323764333
172	0.4319351693
173	0.4315521325
174	0.4312988406
175	0.4309593166
176	0.4305885912
177	0.4303608303
178	0.4300052841
179	0.429788647
180	0.4296246212
181	0.4293192332
182	0.4289175541
183	0.4287469026
184	0.4284667078
185	0.4280427522
186	0.4274763493
187	0.4271617239
188	0.4269461994
189	0.4266998656
190	0.4264922974
191	0.4262964921
192	0.4261032961
193	0.4254210517
194	0.4250157482
195	0.4246892235
196	0.4241566866
197	0.4239670637
198	0.4236064305
199	0.4233149417
200	0.4229680492
201	0.4227691513
202	0.4224513404
203	0.4221676683
204	0.4219098651
205	0.4214913535
206	0.4212786696
207	0.4211354885
208	0.4206416614
209	0.4203689602
210	0.4199701992
211	0.4198304396
212	0.4185083074
213	0.4178383354
214	0.4176555636
215	0.4175140772
216	0.4167155401
217	0.4163422272
218	0.4160885587
219	0.4157972304
220	0.4153379454
221	0.4151860751
222	0.4148272679
223	0.414502164
224	0.4141849319
225	0.4139055043
226	0.413635825
227	0.4130111716
228	0.4129063154
229	0.4126392008
230	0.4124306465
231	0.4122122413
232	0.411697132
233	0.4113510305
234	0.4111501741
235	0.4108848819
236	0.4105421951
237	0.4103080062
238	0.4102002735
239	0.4099521293
240	0.4095328798
241	0.409383938
242	0.4091022856
243	0.408921276
244	0.4087022163
245	0.4084684218
246	0.4083067676
247	0.4080325382
248	0.4069651326
249	0.4067598442
250	0.4065328796
251	0.40637416
252	0.4061362557
253	0.4058943991
254	0.4056867552
255	0.4053751422
256	0.4051457945
257	0.4049323157
258	0.4046770332
259	0.4045028456
260	0.4044152741
261	0.40415797
262	0.4038820125
263	0.4036504546
264	0.403351841
265	0.4030900396
266	0.4029055103
267	0.4027345675
268	0.4025687622
269	0.4023898368
270	0.4021720141
271	0.4019599015
272	0.4017362249
273	0.4016085042
274	0.4015323283
275	0.4012731124
276	0.4011377176
277	0.4009565717
278	0.4007240831
279	0.400439571
280	0.4001705386
281	0.3999887221
282	0.3998393978
283	0.3995404548
284	0.3994382661
285	0.3992127106
286	0.3988632185
287	0.3986722143
288	0.3985690816
289	0.3981630592
290	0.3979875506
291	0.3976443194
292	0.397542707
293	0.397404509
294	0.3971667684
295	0.3967463507
296	0.39647622
297	0.3962367912
298	0.3959389089
299	0.3957889969
300	0.3956296865
301	0.395396825
302	0.395289928
