iter	Passed	Remaining
0	88	123511
1	179	125635
2	260	121243
3	323	112771
4	391	109089
5	455	105692
6	508	101028
7	565	98275
8	616	95228
9	677	94171
10	730	92214
11	789	91224
12	860	91760
13	920	91085
14	970	89575
15	1033	89300
16	1099	89344
17	1158	88860
18	1212	88092
19	1264	87192
20	1314	86273
21	1370	85775
22	1425	85255
23	1478	84702
24	1550	85196
25	1606	84849
26	1648	83777
27	1697	83119
28	1746	82507
29	1785	81461
30	1844	81408
31	1879	80296
32	1915	79303
33	1957	78599
34	1991	77597
35	2030	76864
36	2066	76083
37	2102	75312
38	2154	75132
39	2204	74884
40	2243	74325
41	2317	74862
42	2364	74569
43	2423	74636
44	2478	74563
45	2553	75111
46	2630	75666
47	2705	76142
48	2780	76597
49	2860	77169
50	2936	77603
51	3004	77834
52	3081	78253
53	3162	78769
54	3241	79205
55	3319	79607
56	3390	79829
57	3471	80265
58	3518	79909
59	3571	79710
60	3643	79926
61	3705	79912
62	3786	80307
63	3860	80526
64	3926	80574
65	3988	80556
66	4071	80941
67	4149	81220
68	4209	81147
69	4285	81372
70	4355	81467
71	4430	81663
72	4506	81852
73	4580	82009
74	4652	82139
75	4722	82204
76	4790	82250
77	4862	82349
78	4931	82402
79	5001	82465
80	5065	82428
81	5140	82562
82	5212	82649
83	5282	82696
84	5360	82873
85	5435	82982
86	5512	83125
87	5578	83100
88	5650	83172
89	5715	83130
90	5779	83067
91	5849	83098
92	5916	83085
93	5989	83154
94	6052	83081
95	6116	83012
96	6186	83035
97	6258	83081
98	6336	83206
99	6414	83330
100	6483	83326
101	6566	83501
102	6641	83564
103	6707	83524
104	6792	83712
105	6849	83556
106	6927	83642
107	7003	83712
108	7080	83800
109	7163	83942
110	7222	83806
111	7280	83663
112	7359	83756
113	7434	83796
114	7512	83880
115	7600	84061
116	7675	84105
117	7756	84208
118	7826	84184
119	7908	84292
120	7981	84298
121	8060	84374
122	8133	84381
123	8211	84436
124	8284	84430
125	8360	84469
126	8432	84462
127	8504	84450
128	8587	84538
129	8662	84558
130	8739	84594
131	8797	84442
132	8867	84404
133	8949	84490
134	9032	84567
135	9109	84601
136	9191	84669
137	9257	84591
138	9331	84587
139	9406	84592
140	9480	84582
141	9554	84578
142	9632	84602
143	9711	84638
144	9788	84651
145	9871	84715
146	9939	84652
147	10011	84626
148	10086	84620
149	10166	84651
150	10240	84638
151	10309	84581
152	10387	84592
153	10462	84583
154	10533	84542
155	10602	84477
156	10668	84399
157	10748	84420
158	10821	84396
159	10895	84369
160	10966	84326
161	11045	84338
162	11119	84315
163	11186	84243
164	11253	84162
165	11325	84123
166	11405	84143
167	11483	84144
168	11564	84167
169	11641	84162
170	11715	84130
171	11791	84115
172	11866	84096
173	11942	84078
174	12034	84176
175	12100	84085
176	12160	83953
177	12211	83765
178	12285	83732
179	12365	83744
180	12438	83701
181	12505	83620
182	12577	83576
183	12661	83608
184	12733	83561
185	12810	83543
186	12875	83448
187	12937	83336
188	13014	83322
189	13089	83291
190	13166	83273
191	13239	83227
192	13303	83127
193	13377	83089
194	13454	83072
195	13531	83054
196	13603	83001
197	13675	82949
198	13758	82962
199	13834	82935
200	13907	82889
201	13982	82856
202	14064	82864
203	14142	82842
204	14210	82768
205	14270	82646
206	14326	82500
207	14386	82378
208	14461	82342
209	14537	82308
210	14609	82253
211	14683	82213
212	14753	82149
213	14835	82148
214	14907	82095
215	14977	82031
216	15046	81955
217	15120	81914
218	15193	81865
219	15270	81834
220	15331	81721
221	15404	81674
222	15479	81632
223	15560	81625
224	15638	81597
225	15713	81557
226	15781	81479
227	15857	81442
228	15937	81425
229	16013	81390
230	16083	81321
231	16149	81234
232	16220	81173
233	16292	81114
234	16378	81124
235	16464	81135
236	16542	81108
237	16617	81061
238	16690	81007
239	16767	80972
240	16842	80927
241	16922	80905
242	16990	80825
243	17069	80801
244	17145	80760
245	17221	80718
246	17299	80684
247	17370	80620
248	17449	80588
249	17520	80523
